491375	87	48	33	75
673634	84	47	74	19
141470	56	44	76	47
524787	95	34	50	70
157739	90	38	53	26
868389	84	67	67	37
405058	91	71	37	80
463271	95	72	66	39
327647	77	59	54	51
638038	90	65	30	17
721449	95	97	48	75
696573	93	32	42	36
939700	58	76	65	80
742864	75	71	79	33
482313	88	68	65	45
341608	66	89	48	81
839377	91	92	37	68
433368	84	95	77	73
866923	85	76	41	74
391080	99	67	64	24
388626	74	33	63	81
136832	75	42	81	79
722931	98	95	60	74
158125	70	54	61	59
119104	55	84	47	81
916764	79	84	49	43
679596	96	46	66	64
583048	74	64	61	80
850407	83	35	84	46
232977	79	87	37	25
864367	90	93	74	34
791048	88	34	83	45
542528	43	90	30	50
331624	93	95	44	40
943918	74	92	69	49
929426	64	68	81	20
822678	86	99	34	53
181324	84	87	47	22
932167	89	53	46	73
936256	93	68	37	25
717600	84	49	74	22
582892	74	87	37	23
446600	87	95	55	19
706817	59	39	39	19
726672	76	46	46	63
861172	79	32	27	27
972032	90	63	35	15
781740	73	34	48	52
456910	84	92	42	29
854371	74	98	52	81
853251	93	87	52	22
950354	83	60	77	41
688006	85	72	64	79
969742	80	95	64	17
389197	78	36	69	79
810864	72	64	63	69
668210	76	37	48	58
736684	79	62	49	47
145138	83	91	84	81
444073	79	100	52	41
167705	90	81	71	31
745235	57	63	37	57
892030	68	52	70	21
939088	70	49	53	56
599203	75	52	74	32
524182	64	62	50	72
437077	70	38	44	73
812028	97	48	82	69
630903	96	46	67	52
513413	83	78	47	40
751555	98	72	31	58
161881	88	88	51	22
573110	72	100	66	61
382565	92	61	57	67
104662	80	73	44	44
601898	71	45	73	67
319659	74	97	54	79
210970	73	85	69	45
591469	89	45	48	17
534544	76	57	41	45
300954	83	92	60	81
127415	89	50	61	37
845148	82	84	36	81
400442	91	81	29	49
900449	66	64	64	26
353001	76	35	78	71
126922	98	94	85	35
754392	82	82	72	68
964120	86	95	83	21
974081	97	62	55	20
345689	77	62	57	41
436791	97	31	70	70
380886	90	31	50	26
758810	96	91	53	17
645529	80	87	58	33
428041	73	40	69	76
418851	87	94	73	54
381916	74	88	57	68
975718	62	51	52	30
435572	70	68	70	29
567997	86	80	38	64
432224	87	87	77	51
330995	95	49	57	21
830313	77	99	46	28
548146	81	43	29	32
864331	70	33	68	46
797918	61	44	32	70
612750	93	97	79	55
189044	84	35	75	75
373241	88	41	43	37
272375	92	34	72	74
737534	74	42	54	78
653073	77	71	66	40
719310	90	36	65	38
912935	92	31	60	62
420813	77	31	36	58
636375	95	72	60	67
922343	78	87	40	56
242739	93	69	83	67
152153	83	42	72	81
103668	79	34	45	66
551505	80	89	48	67
388811	82	85	47	44
421591	93	35	45	72
734435	96	100	46	48
526546	72	79	50	33
427712	81	97	76	66
333198	85	54	52	44
969403	88	56	48	57
351119	95	95	67	29
161835	75	86	73	52
511722	90	66	83	45
240081	87	56	45	52
210372	75	85	76	74
384239	69	84	69	30
717841	95	79	69	53
843662	94	63	45	52
579716	85	55	47	53
978083	70	80	65	29
922762	77	87	83	35
556890	74	54	39	24
522499	97	84	71	45
587505	81	53	63	19
171342	91	71	40	39
411709	87	40	74	59
981555	98	69	79	71
685173	59	51	83	68
601633	97	38	66	51
350221	98	62	70	26
278428	73	39	84	50
906049	81	85	61	79
866405	90	95	54	16
802224	72	43	39	78
265158	77	66	57	40
209047	92	41	39	69
255250	73	63	75	33
131787	75	73	63	63
303479	84	41	76	27
919266	89	37	43	69
875559	70	89	30	48
991893	88	69	76	41
930284	41	99	73	19
786742	80	76	44	22
778382	54	95	35	60
131372	86	100	28	63
749077	71	50	31	72
225534	77	33	50	44
964573	88	67	79	71
412730	93	95	81	47
832903	97	35	60	41
930989	83	54	49	32
504110	81	39	80	30
890704	75	72	67	40
674337	87	100	53	50
525734	90	75	27	17
993886	74	90	36	32
559405	94	51	43	53
455505	90	62	40	46
203176	96	83	47	72
952243	86	82	78	52
788848	93	44	73	66
601056	98	84	54	37
406819	92	52	36	30
656641	73	49	38	41
995204	84	99	38	55
555292	94	47	74	71
470373	93	41	40	67
504017	76	87	27	22
138658	88	53	52	49
727844	78	52	72	71
119231	94	91	34	78
868201	89	49	78	53
611209	80	88	58	24
279724	96	96	67	34
485292	83	93	55	55
627290	80	99	38	22
915030	81	38	28	41
276184	60	51	43	39
658761	84	71	46	35
815904	95	34	48	34
622542	98	85	51	63
978175	88	40	47	72
311802	79	70	79	73
707001	87	69	83	28
150441	95	64	77	67
603564	80	46	73	62
993209	77	87	33	35
623865	79	36	40	32
349772	56	100	85	70
718238	82	42	58	48
413990	90	40	33	33
753296	59	71	85	75
582119	83	56	79	67
230809	92	57	54	25
532909	94	79	61	46
154053	82	32	38	21
153810	92	78	37	50
328734	94	46	42	47
997480	95	73	58	60
540444	79	45	68	44
479245	95	64	37	17
384100	96	97	68	16
950537	84	55	41	72
820861	96	32	84	70
382979	77	68	54	39
879755	73	49	50	73
380479	72	32	38	31
921626	97	47	37	49
787852	89	76	80	72
125137	91	44	54	71
538406	94	91	53	37
481737	94	79	64	62
535978	73	78	53	64
525664	89	58	69	36
776692	89	93	31	54
531505	93	94	38	64
266880	70	35	29	34
250560	87	38	57	76
813298	94	58	80	69
933513	94	82	39	75
878320	87	51	49	33
583047	79	31	34	41
975371	85	53	36	56
614906	78	72	82	63
952180	73	49	80	64
288830	96	83	66	44
371443	73	31	73	58
484780	91	50	78	32
397609	88	97	86	44
344109	55	86	63	36
678447	85	53	32	53
398994	78	47	77	78
389294	87	49	31	48
394617	86	49	86	73
792078	72	91	49	55
780047	76	92	72	80
741221	98	70	68	47
907435	89	64	79	29
882107	93	62	36	49
772924	90	84	76	66
700532	90	49	84	26
602444	88	76	71	34
153826	79	100	50	43
256601	74	48	53	38
311011	85	52	35	28
139146	86	81	71	62
220340	71	91	71	31
544080	66	44	27	71
587409	92	85	62	56
113046	93	76	48	46
406607	96	63	65	65
394491	96	73	30	18
577721	71	92	73	31
639759	90	60	76	37
479960	82	58	50	23
967086	93	48	44	68
272332	80	65	38	21
421935	72	49	42	65
708360	75	74	78	58
942113	67	95	51	69
652152	96	31	28	72
749956	97	44	37	61
425579	83	37	82	61
125427	70	58	35	23
730604	92	72	52	73
294326	96	41	68	23
526514	75	71	74	68
940233	74	45	63	72
339886	77	78	58	64
570741	89	40	73	44
603230	83	93	74	47
716506	98	49	43	61
124948	77	70	59	43
709700	76	73	60	47
780167	82	80	47	57
844911	72	39	79	61
562963	88	70	57	52
167700	54	60	56	33
706062	70	77	66	63
675303	83	84	72	74
