January,Friday,413,222,162
January,Saturday,357,234,103
January,Sunday,296,198,0
January,Monday,243,148,0
January,Tuesday,228,101,100
January,Wednesday,251,145,59
January,Thursday,236,215,139
January,Friday,396,173,149
January,Saturday,378,156,83
January,Sunday,262,154,0
January,Monday,202,123,0
January,Tuesday,194,110,71
January,Wednesday,226,130,121
January,Thursday,257,199,99
January,Friday,391,197,167
January,Saturday,408,153,168
January,Sunday,260,135,0
January,Monday,216,170,0
January,Tuesday,217,123,99
January,Wednesday,251,89,124
January,Thursday,268,231,160
January,Friday,373,168,134
January,Saturday,403,148,100
January,Sunday,313,105,0
January,Monday,241,79,0
January,Tuesday,196,172,72
January,Wednesday,205,161,141
January,Thursday,328,215,92
January,Friday,344,175,158
January,Saturday,345,158,130
January,Sunday,234,149,0
February,Monday,147,155,0
February,Tuesday,212,125,146
February,Wednesday,225,177,68
February,Thursday,233,225,187
February,Friday,421,149,139
February,Saturday,402,229,87
February,Sunday,312,176,0
February,Monday,198,152,0
February,Tuesday,249,114,50
February,Wednesday,232,150,106
February,Thursday,293,151,84
February,Friday,326,178,157
February,Saturday,396,152,109
February,Sunday,233,126,0
February,Monday,167,158,0
February,Tuesday,210,109,80
February,Wednesday,212,102,71
February,Thursday,328,251,148
February,Friday,358,173,162
February,Saturday,413,143,103
February,Sunday,300,178,0
February,Monday,215,92,0
February,Tuesday,184,93,91
February,Wednesday,235,106,131
February,Thursday,284,233,162
February,Friday,379,213,117
February,Saturday,331,211,79
February,Sunday,298,207,0
March,Monday,181,125,0
March,Tuesday,228,87,133
March,Wednesday,225,95,121
March,Thursday,305,163,128
March,Friday,320,197,154
March,Saturday,339,132,87
March,Sunday,229,144,0
March,Monday,236,88,0
March,Tuesday,244,90,107
March,Wednesday,212,123,67
March,Thursday,272,233,149
March,Friday,380,221,113
March,Saturday,349,214,109
March,Sunday,239,103,0
March,Monday,211,70,0
March,Tuesday,188,132,68
March,Wednesday,258,124,87
March,Thursday,210,203,79
March,Friday,337,226,102
March,Saturday,352,167,141
March,Sunday,264,82,0
March,Monday,177,104,0
March,Tuesday,254,167,142
March,Wednesday,216,88,135
March,Thursday,294,254,170
March,Friday,371,179,180
March,Saturday,386,175,172
March,Sunday,222,164,0
March,Monday,230,151,0
March,Tuesday,162,134,62
March,Wednesday,215,116,136
April,Thursday,313,158,140
April,Friday,368,229,169
April,Saturday,330,192,156
April,Sunday,280,126,0
